sense	Ambai (Yapen) [amk]	Araki [akr]	As [asz]	Bierebo (Yevali) [bnk]	Biga (Misool) [xmt]	Buli [bzq]	Futuna-Aniwa (Aniwa) [fut]	Gimán [gzn]	Irarutu [irh]	Kasira (Irahutu) [irh]	Lelepa [lpa]	Maskelynes [klv]	Minyaifuin (Gebe) [gei]	Numfor [bhw]	Paama (Lironesa) [pma]	Pulau (Arguni) [agf]	Roria [rga]	Vao [vao]	Waropen [wrp]	Windesi Wandamen [wad]
Eight	0	3	0	7	0	0	3	0		0	5,  7	5,  7	0	0	7	0	5,  7	3		0
Fifty	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0
Five	1	1	0	1	0	0	1	0		0	1	1	0	0	1	0	1	1		1
Four	1	1,  65	1	1,  65	1	1	1,  66	1			1,  65	1,  65	1	1	1,  65	1	1,  65	1,  65	1	1
I	1	1,  21,  22	6	1,  21,  22	6?	1	1,  21,  18	1	1	1	1,  21,  22	1,  21,  22	6	1	1,  21,  22		1,  21,  22	1,  21,  22	1	1
Nine	0	5	0	20	0	0	5,  44,  66	0		0	20	20	0	0	20	0		5		0
One		1	1	14,  77		1	41	1,  23	1	1	42	5	1,  23	1,  61	14	1?	1	1,  67	1?	1
One Hundred	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
One Thousand	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Seven	1		0	2	0	0	1	0		0	13	13	0	0	2	0	13	1		0
Six			0	24	0	0	1	0		0	20	20	0	0		0		1		0
Ten	0	5	0	4	0	0	5	0		0	4	5	0	0	4	0	5	5	5	0
Three	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Twenty	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		0
Two	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	
above		0	0	0	2	2	0	2?	2		0	0		2	0	2	0	0	2	2
all		81				21	60	21				0					0	0		
and	0	0	0	0	0	14	2	14		14?	12	2,  46	0	2	1	0	0	0	2	1?
ash		1,  52	16	78	16?	1?	1				1,  26	1,  76	16			1		75,  83	1	1
at	13	0	0	0	0		0	1		18	0	0	0		0	0	0	0	13	13
back	23	75		35	28		62				35	35	3?	23	130		82	14		23
bad, evil	19	104					1	1?			1	1			1,  99		102	1	0	19
belly		60		100	42?	23	19,  34			40	12	66?	23	58	61		1	13	42?	58
below		0	0	0	1	1	0		0	1?	0	0	1		0		0	0		1
big		10		106								50		50	113	41	48	88		50
bird		24,  42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24	1	1	2
black	1?	29	1	79			7		1	1?	40	1		1?	41	4		1		1
blood	14	1	26	54	26		4				1	1	1	14	1	1	1	1,  27	1	14?
bone	15	52		71			52,  5	28	2	2?	38	52,  59		70	52	1?	27	52	70	15
branch	0	0	0	0	0		0		1	0	0	0	0		0	0	0	0		1?
breast	1	1	1	47	1	1	3		1	1	1	1	1	1	1	1	1	1	1	1
child		5		5,  53	4	5	6,  103		5		72	5			5		5	5		
cloud		90		34			16				98	34			39		3	38	25	25
cold		1,  104		1,  99		1	1,  53	1?	1		45,  111	98	1				1,  104	51		
correct, true		0		x			106		6?		x	x			x	4?	0	78		
day		6	0				1,  54				1,  18	16			16		6	16	1?	
dirty	23	0		65	31	0	37				6	69			103	31?	0	6	22	23
dog		7,  75,  80		7		19	7		35	19	7,  79	29			7	1	72	7,  75,  80	38	
dry		29				1	66					11	1		11	1	29	11		11
dull, blunt		0		0			0		23	23	0	0			0	3	0	0		
dust	1?	0	12	25	12		1			1?	27	0			20	1?		86	0	1
ear	9	16	1?	1,  41			1	1?	1	1	1	1,  40		1	1,  40	1?	16	16		9
earth/soil	22	11,  73		1,  69			10				1	1			1			1	1	22
egg		56	1	1,  70	1	1?	9	1	1,  61	1	1	1,  66			1,  66		56	1		
eye	8	1	13	1	13	1	1	1	1	1	1	1	1	1	1		1	1		8
far	24	0	1	88		1	43	1			67	0	1		72		0	0		24
fat/grease		0	0	15	0	1		25		0	0		0	1	0	0		0	1	
