sense	Ambai (Yapen) [amk]	Araki [akr]	As [asz]	Bierebo (Yevali) [bnk]	Biga (Misool) [xmt]	Buli [bzq]	Futuna-Aniwa (Aniwa) [fut]	Gimán [gzn]	Irarutu [irh]	Kasira (Irahutu) [irh]	Lelepa [lpa]	Maskelynes [klv]	Minyaifuin (Gebe) [gei]	Numfor [bhw]	Paama (Lironesa) [pma]	Pulau (Arguni) [agf]	Roria [rga]	Vao [vao]	Waropen [wrp]	Windesi Wandamen [wad]
Eight		hawalu		o-rolu			βaru		(fradfid) tretor		la-tol	me-leβ-tœr			ou-tel		rap-tol	xo-al	waŋgea ka oro	
Fifty									matut tni ru risi esuem											
Five	riŋ	lim̈a		čima			rima		fradfid		lim	e-rim			e-lim		nye-lni	ɣe-lim̈e	waŋgea	rime
Four	bo-a	v̈ari	fat	βeri	fat	[si] fat	fa	pfot	gigti	gegite	pat	i-βat	pi-fat	fiak	e-hat	fat	nye-ðað	ɣe-v̈at	ako	at[e]
I	yau	na	anɛ	kinu	ini	ya	wau	yak	ja	ia	konou	kinau	ane	ya	inau	embie	nia	ina	ya	yau
Nine		haisua		o-βeri			iβa		(fradfid) tregigti		lo-fet	mela-pat			ou-hat		ra-nðyet	xe-hiβe	waŋgea ka ako	
One	bo-yori	mɔ hɛse	sa	takore	katen	[a] sa/[i]sa	tasi	pso	esu	eso	skei	sua	pi-sa	saï	tai	sia	eskar	ɣete	wosi	esa
One Hundred									ratu esu											
One Thousand									rifu esuem											
Seven	itu	haifiru		o-lua			fitu		(fradfid) treru		la-rua	me-leβ-ru			ou-lu		raβ-ru	ɣe-ᵐbüt	waŋgea ka woruo	
Six	wona(ŋ)	haiono		ora			ono		(fradfid) treso		latˢa	meleβtes			ahitai		niya-rað	ɣeyon	waŋgea ka wosio	
Ten		saŋaβulu		lualima			taŋafuru		fradru		rualima	səŋaβur			halualim		saŋβul	haŋaβul	sauro	
Three	bo-toru	mɔ rolu	tu	tolu	tol	[si] tol	toru	ptol	tor	torə	tolu	i-tœr	pi-tol	kior	etelu̥	taor	nye-tol	ɣe-tol	oro	toru
Twenty									matutni										nuŋgu etio	
Two	bo-ru	mɔ rua	lu	čua	lo	[si] lu	rua	plu	ru	rifo	rua	e-ru	pi-lu	duï	e-lu	ru	nye-ru	ɣe-ru	woru	muandu
above	jaifai				pa|pɔwɔ	popó		payau	ffu	adeitə			la-ya	bo		apo			[ru]bo	vavo
all	tafau	mo	faluʔ	pʷaŋa	tudde	fa-rumi	oči	hadumik	timbe	temebe	te mouna		sef	kam	keil	fasigerig			kai	wura
and						re	ma	de	-ir	ner[e]	ŋə	mei		ma	ka				ma	e
ash	kaŋgana	pariaβu	yap-apin	pulu-yeβi	kalap	gigi|áp	čiafu	tapin	tugwan	tugwane	na-tonuau	ne-masiaβ	ba|yap	pat	meneihaŋ	avu|ne	monpontˢoɣ	ᵐbitnaxaβ	awu	w|abu
at	na					mali		li	ge	ne-				ro					na	na
back	kuruu-	čuhu-ku	-uaɛ	mʷaⁿdu-ᵑgu	uta-	tao	pua	buai	fgie	tariro-	n-mʷatmʷa	ne-maⁿdu-ᵑk	mulɔ	kru[ri]	eisilu-ku	[i]umbasi	ⁿdʷu-	xotura-k	ruai	karo sina
bad, evil	kerira	mote	fi-ga	pua	fi sapɔ	mayay	sa	lekat	fit	kabia	sa	i-sa	lɛ	barbor	tisa	ofi	loᵑgloᵑk	mo-hat		kariria
belly	ene-	řaŋaha-ku	-nipu	ᵐboᵐbʷa-ᵑgu	nia-	hñao	inae	tutu	fta	fta-	na-pʷal-ŋu	na-ᵐbexaβe-ᵑk	hñao	sne[ri]	faŋo-k	sige-	ntša-	taᵐbaŋe-k	nina	sane
below	kofavau				pa|pɔ	pāp		poli		e-və			la-pa	wabni		pepene			iro	vav[a]
big	fyabai/fyebai	řahalapa	kandɔ	keβiu	naplei	mamagal	tamaki	loál	bidi	nabade	popʷila	ti-ᵐbao	pial	ba	marite	matuʔen	tortoron	moseax	mandana	baba
bird	romu	m̈atˢia aβuaβ(u)	mani	menu	mini	mani	manu	manik	man	ma-nə	manu	ne-man	mani	man	aman	mani	nantˢ	na-m̈an	mani	aya
black	nu|meta	βirixa	matɛm	ᵐboᵐbokiña	mabis	gogó	ouri	kidkuda	grmutn	gr|mutəne	loa	i-meremer	karud	pa|isĕm	malikelik	udude	ma-naras	mom̈ot	meno	meta[n]
blood	rika	čae-ku	lamɔs	sa-ᵑgu	lomos	laflaf	toto	git	wams	wa-mese	n-ra-ŋu	ne-ⁿda	la	rik	ra-k	rare	aⁿda-	reu-k	rara	ria[t]
