sense	Danish	Dutch	Elfdalian	English	Frisian	German	Hindi	Spanish	Swedish
ANT	0	0	0	0	1617	0	2354	272	0
ASH	285	285	285	285	285	285	2355	1	4161
BACK	1413	1413	1413	1618	1413	1413	598	3541	1413
BAD	1414	1533	0	1619	1734	1533	989	274	1612
BARK	1415	1534	1415	1620	1698	2041	2356	275	4162
BELLY	1416	1142	1416	1142	1142	1142	990	0	1142
BIG	69	1535	69	1621	1535	1535	991	277	69
BIRD	1417	1417	1417	1622	1417	1417	2357	308	1417
BITE	1418	1418	1418	1418	1418	1418	275	279	1418
BITTER	0	0	0	0	1418	0	2358	280	0
BLACK	1420	1420	1420	1623	1420	1420	606	281	1420
BLOOD	1421	1421	1421	1421	1421	1421	1086	282	1421
BLOW	283	283	283	283	283	0	994	283	283
BONE	1422	8	1422	1422	1422	2026	995	13	1422
BREATHE	577	1536	0	1624	1735	1536	996	284	577
BURN	1423	1423	1423	1423	1423	1423	1073	0	1423
CARRY	0	0	0	0	1468	0	2359	3334	0
CHEST	1261	0	1261	0	1261	0	1088	287	1261
CHILD	5	646	1574	1627	5	646	1925	416	5
CLAW	0	0	0	0	1424	0	1090	4155	0
CLOUD	1425	1250	1575	1628	1250	1250	1091	289	4163
COLD	317	317	317	317	317	317	615	290	317
COME	291	291	291	291	291	291	291	291	291
COUNT	1426	1537	1576	1629	1426	1426	999	292	4164
CRY	0	0	0	0	1538	0	671	1320	0
CUT	492	1539	1578	1631	1539	1539	275	375	492
DAY	15	15	15	15	15	15	295	295	15
DIE	822	0	822	1632	1699	1699	296	296	822
DIG	1428	1428	1428	1633	1428	1428	2360	1322	1428
DIRTY	1429	364	0	1634	1736	2044	1093	3460	1579
DO	0	0	0	0	299	0	620	299	0
DOG	300	300	1580	1635	300	300	2361	3543	300
DRINK	1431	1431	1431	1431	1431	1431	30	30	1431
DRY	303	1540	303	1540	1540	1540	675	0	303
DUST	1432	1541	1581	1636	1541	1541	1001	302	1432
EAR	33	33	33	33	33	33	621	33	33
EARTH	1433	1433	323	1433	1737	2045	2362	303	2045
EAT	439	439	439	439	439	439	622	439	439
EGG	36	36	36	1637	36	36	1002	36	36
EYE	37	37	37	37	37	37	37	37	37
FALL	1434	1434	1434	1434	1434	1434	1094	305	1434
FAR	8	286	89	286	286	1506	327	4156	89
FAT	1435	1435	1435	1435	1435	1435	1003	306	1435
FATHER	307	307	307	307	307	307	2363	307	307
FEAR	1436	1542	1582	1638	477	0	905	3832	4165
FEATHER	308	308	0	308	308	308	1072	361	308
FIGHT	1437	1543	1583	1543	1543	2046	1095	1714	8
FIRE	1438	444	1438	444	444	444	928	310	1438
FISH	311	311	311	311	311	311	683	311	311
FIVE	47	47	47	47	47	47	47	47	47
FLOWER	312	312	312	1639	312	312	1005	312	312
FLY_N	0	0	0	0	1738	0	624	49	0
FLY_V	1417	1417	1417	1417	1417	1417	1006	313	1417
FOG	1439	585	1584	1640	1739	431	1007	431	1439
FOOT	315	315	315	315	315	315	315	0	315
FOREST	1440	250	1585	1246	1701	250	789	316	4166
FOUR	54	54	54	54	54	54	54	54	54
FREEZE	1441	1441	1586	1441	1441	1441	1096	317	1441
FRUIT	55	0	55	55	55	55	1009	318	55
FULL	56	56	56	0	56	56	5	56	56
GIVE	1442	1442	1442	1442	1442	1442	57	57	1442
GO	0	0	0	0	1443	0	626	319	0
GOOD	986	986	0	986	986	986	2364	320	4167
GRASS	1444	1444	1444	1444	1444	1444	628	321	1444
GREEN	1445	1445	1445	1445	1445	1445	687	322	1445
GRIND	0	0	0	0	323	0	688	323	0
GUTS	1446	1446	1587	1642	1740	2047	324	0	1446
HAIR	963	963	963	963	963	0	1098	1714	963
HAND	1447	1447	1588	1447	1447	1447	65	326	1447
HARD	0	0	0	0	275	0	1099	327	0
HEAD	328	328	1589	328	328	2049	66	328	328
HEAR	1448	1448	1448	1448	1448	1448	460	329	1448
HEART	330	330	330	330	330	330	875	330	330
HEAVY	941	1544	941	1643	1544	1544	5	1328	1544
HERE	462	462	462	462	462	462	693	8	462
HIDE	0	0	0	0	1741	0	1100	299	0
HIT	1437	390	1437	1645	1437	1453	2365	294	1437
HORN	66	66	66	0	66	66	66	66	66
HOT	45	45	45	0	45	45	632	333	45
HOUSE	0	0	0	0	1450	0	2366	1331	0
HOW	74	74	74	74	74	74	74	74	74
HUNT	1451	1546	1451	1647	1546	1546	1015	334	4168
I	76	76	76	76	76	76	635	76	76
ICE	1452	1452	1452	1452	1452	1452	1016	317	1452
KILL	1453	1437	1591	1648	822	822	296	1332	1453
KNEE	79	79	79	79	79	79	1101	365	79
KNOW	372	372	372	638	372	372	638	337	372
LAKE	1454	371	1454	1649	0	1454	2367	219	1454
LAUGH	1455	1455	1592	1455	1455	1455	1018	338	4169
LEAF	312	312	1593	1593	312	312	308	339	312
LEFT	1456	1547	1456	1650	1547	1547	639	3462	1456
LEG	1422	1422	0	1651	315	1422	2368	3545	1422
LIE	950	950	950	950	950	950	1104	0	950
LIVE	1155	1548	1595	1595	1595	1595	343	343	1595
LIVER	1457	1457	1457	1457	1457	1457	1105	344	1457
LONG	89	89	89	89	89	89	1020	1333	89
LOUSE	1200	1200	1200	1200	1200	1200	642	345	1200
MAN	1458	1458	177	1458	1458	1458	8	34	177
MEAT	1459	1549	0	1180	1742	1549	92	346	1459
MOON	706	706	1597	0	706	0	93	347	706
MOTHER	348	348	348	348	1743	348	2369	348	348
MOUNTAIN	378	1520	1520	1652	1520	1520	644	326	378
MOUTH	1460	1460	1460	1460	1744	1460	645	349	1460
NAIL	288	288	288	288	288	288	1107	288	288
NAME	227	227	227	227	227	227	227	227	227
NARROW	1461	8	1598	1653	1461	477	2370	0	1461
NAVEL	0	0	0	0	351	0	1024	351	0
NEAR	1462	1462	1462	1462	1702	2050	1110	0	2050
NECK	1463	1463	0	1463	353	1463	2371	353	353
NEW	354	354	354	354	354	354	354	354	354
NIGHT	103	103	103	103	103	103	1027	103	103
NOSE	355	355	1599	355	355	355	355	355	355
NOT	1464	229	1464	229	229	229	229	229	1464
OLD	1465	1550	1465	1550	1550	1550	2372	179	1465
ONE	356	356	356	356	356	356	356	356	356
PERSON	0	357	1466	357	1458	1458	1111	34	357
PLAY	1467	1551	1467	1654	8	1551	647	358	1467
PULL	1468	1552	1468	1655	1552	1150	1112	8	1468
PUSH	1469	1553	1600	1656	1745	0	1113	384	0
RAIN	1470	1470	1470	1470	1470	0	2373	361	1470
RED	362	362	362	362	362	362	1031	362	362
RIGHT	1471	390	1471	390	390	390	232	390	1471
RIVER	1472	1554	1472	1554	1554	0	649	959	409
ROOT	115	115	115	1657	115	115	2374	115	115
ROTTEN	1473	1555	1601	1658	1473	364	305	364	4170
ROUND	1474	1474	0	1474	1474	1474	1033	365	1474
RUN	0	0	0	0	1746	0	1034	366	0
SALT	367	367	367	367	367	367	1115	367	367
SAND	1476	1476	1476	1476	1476	1476	1036	2480	1476
SAY	1477	1477	1477	1477	1477	1477	1037	369	1477
SCRATCH	1478	1556	1424	1659	1424	1659	630	3547	0
SEA	1454	1454	0	1454	1454	1454	1039	371	334
SEE	1479	1479	1479	1479	1479	2052	652	372	2052
SEED	1480	251	0	251	251	0	1040	251	1480
SEW	373	1230	373	373	1230	1230	373	373	373
SHADOW	0	0	0	0	1220	0	1041	374	0
SHARP	1482	1482	1603	1482	1482	1482	1117	8	1482
SHORT	1483	1557	1604	1660	1557	2054	1046	375	4172
SING	1484	1484	1605	1484	1484	1484	720	376	1484
SIT	377	377	377	377	377	377	1118	377	377
SKIN	1485	1485	1606	1661	1485	1485	2375	378	1606
SKY	1486	1558	1486	1662	1558	1486	653	379	4163
SLEEP	502	1559	502	1559	1559	1559	502	380	502
SMALL	1487	1560	1607	1461	1607	1560	1046	3548	1607
SMELL	1488	1561	1558	1663	1561	1561	1047	504	4173
SMOKE	1489	1489	1489	1664	1489	1489	383	383	1489
SMOOTH	1490	968	1608	1665	968	968	1120	1339	1490
SNAKE	1491	1562	417	1491	1562	1562	138	0	417
SNOW	385	385	385	385	385	385	625	385	385
SPIT	242	242	242	242	242	0	1049	242	242
STAND	69	69	69	69	69	69	2376	315	69
STAR	387	387	387	387	387	387	387	387	387
STICK	1492	1563	1609	1563	1563	1563	654	1340	8
STONE	1493	1493	1493	1493	1493	1493	655	389	1493
STRAIGHT	0	390	390	1666	390	2037	488	390	390
SUN	391	391	391	391	391	391	391	391	391
SWEET	0	0	0	0	1494	0	1052	392	0
SWELL	1495	1495	1495	1495	1495	1495	656	283	1495
SWIM	1496	1496	1496	1496	1496	1496	1053	393	1496
TAIL	1497	1497	1610	1667	1497	2038	1123	0	8
TAKE	0	0	0	0	1379	0	1124	3334	0
THAT	151	151	151	151	151	0	1125	151	0
THERE	152	152	152	152	152	0	731	0	152
THEY	153	153	153	1669	1747	153	1126	397	153
THICK	1240	1240	0	1240	1240	1240	1056	0	1240
THIGH	0	0	0	0	1748	0	1127	4159	0
THIN	977	977	0	977	977	977	1108	4160	977
THINK	1500	1565	1500	1565	1565	1565	1128	1328	1500
THIS	153	153	153	153	153	0	733	8	0
THREE	157	157	157	157	157	157	157	157	157
THROW	1501	1566	1612	1570	1566	1703	1129	1335	1503
TIE	79	1567	79	1670	627	627	627	208	4174
TONGUE	402	402	402	402	8	402	402	402	402
TOOTH	403	403	403	403	403	403	403	403	403
TREE	248	1568	248	248	1568	2055	1130	404	248
TRUE	390	1569	390	390	405	0	2377	1343	390
TURN	1502	1570	0	1671	1570	1612	2378	1344	1612
TWO	165	165	165	165	165	165	165	165	165
VOMIT	1503	242	242	1672	242	0	1132	407	0
WALK	1504	1475	1504	1673	959	0	2379	1760	1504
WASH	1505	1571	1613	1571	1571	1571	660	148	2069
WATER	168	168	168	168	168	168	30	409	168
WE	169	169	169	169	169	169	169	169	169
WET	168	1572	1614	168	168	1572	1064	410	168
WHAT	171	171	171	171	171	171	171	171	171
WHEN	172	172	172	172	172	172	172	172	172
WHERE	172	172	172	172	1749	172	172	172	172
WHITE	900	900	900	900	900	900	2380	411	900
WHO	171	171	1615	171	171	171	171	171	171
WIDE	1506	1506	1506	0	1674	1674	1066	1347	1674
WIND	413	413	283	413	413	413	1067	413	413
WING	1507	1417	1507	1675	1750	1417	1072	414	4175
WITH	176	176	176	1676	176	176	482	1254	176
WOMAN	1508	1573	0	1677	1573	1573	663	1410	527
WORM	417	417	0	417	417	417	1136	3551	1616
YEAR	1509	1509	1509	1509	1509	1509	2381	418	1509
YELLOW	687	687	687	687	687	687	1138	280	687
YESTERDAY	0	0	0	0	65	0	1069	65	0
YOU_PL.	181	181	181	181	181	181	2382	181	181
YOU_SG.	182	181	182	182	182	182	182	182	182
