sense	Danish	Dutch	Elfdalian	English	Frisian	German	Hindi	Spanish	Swedish
ANT					'ɪ.əməldər		ʧĩʈi	oɾ'miɣa	
ASH	ˈasg̥ə	ɑs	ɑ̀skɑ	æʃɪz	ˈjɪskə	'aʃə	ɾɑkʰ	θe'niθa	stɔft
BACK	ʁœɡ	rʏχ	rygː	bæk	rɛːx	'rijkn̩	piʈʰ	es'palda	rʏgː
BAD	ˈilə	slɛχt		bæd	mɪn	ʃlɛçt	kʰəɾɑb	ˈmalo	und
BARK	b̥ɑːg̥ʰ	sχɔrs	bɑrk	bɑ:k	bɔst	'rɪndə	ʧʰɑl	koɾ'teθa	bark
BELLY	ˈmæːvə	bœyk	mɔ̀gɔ	bɛlɪ	buk	baŭx	peʈ		bʉ:k
BIG	ˈsd̥oˀɐ̯	ɣrot	stʉːr	bɪg	grøt	gro:s	bəɽɑ	ˈɡɾann̪de	stuːr
BIRD	fuˀl	'voɣəl	fʉ́gɛl	bɜ:d	fuγəl	'fo:gl̩	pəkʃi	'paxaɾo	ˈfo:gəl
BITE	ˈb̥iːðə	'bɛitə(n)	bɑ̀ɪtɑ	baɪt	'bitə	'baĭsn̩	kɑʈnɑ	moɾ'ðeɾ	ˈbì:ta
BITTER					'bɪtər		kəɾɑ	a'maɾɣo	
BLACK	sɒ:d̥ʰ	zwɑrt	swɑrt	blæk	swat	ʃwart͜s	kɑlɑ	'neɣɾo	svaʈː
BLOOD	b̥loˀð	blut	blʉəð	blʌd	blu.ət	blu:t	kʰun	'saŋgɾe	blu:d
BLOW	ˈb̥lɛːsə	'blazə(n)	blɔ̀ːsɑ	bləʊ	bla:zə		pʰũknɑ	so'plaɾ	ˈblò:sa
BONE	b̥eˀn	ɣrat	bɪɛːn	bəʊn	'boŋkə	'knɔxn̩	ɦəɖːi	'weso	beːn
BREATHE	ˈʌnə	ˈadəmə(n)		bri:ð	ˈsikhɛljə	'a:tmən	sɑ̃s lenɑ	respiˈɾaɾ	ˈàndas
BURN	ˈb̥ʁanə	'brɑndə(n)	brɛ̀nːɑ	bɜ:n	'brɔ:nə	'brɛnən	dʒəlna		ˈbrɛ̀nːa
CARRY					'dra:γə		le jānā	je'βaɾ	
CHEST	ˈb̥ʁɶsd̥		brɛst		bwast		ʧʰɑt̪i	'peʧo	brøst
CHILD	b̥ɑˀn	kɪnt	krɪpː	tʃaɪld	bɛ̃ːn	kɪnt	bəʧ:ɑ	'ixo	bɑːɳ
CLAW					klu.ər		pəɲʤɑ	'θaɾpa	
CLOUD	sg̥ʰyˀ	wɔlk	mʉ:əln	klaʊd	volk	'vɔlkə	bɑdəl	'nuβe	ɧy:
COLD	g̥ʰʌlˀ	kɑut	kold	kəʊld	kɔ:t	kalt	ʈʰəɳɖɑ	'fɾio	kalː
COME	ˈg̥ʰʌmə	'komə(n)	ˈkʉ̀mɔ	kʌm	'komə	'kɔmən	ɑnɑ	be'niɾ	ˈkɔ̀mːa
COUNT	ˈd̥ʰɛlə	ˈrekənə(n)	ˈrɛ̀kːɛn	kaʊnt	ˈtɛlə	't͜sɛ:lən	gɪn:ɑ	kon̪ˈtaɾ	ˈrɛ̀:kna
CRY					'gu(:)lə		ɾonɑ	jo'ɾaɾ	
CUT	ˈsg̥ʰɛːʌ	'snɛidə(n)	ˈògːɑ	kʌt	'snɛiə	'ʃnaĭdn̩	kɑʈnɑ	koɾ'taɾ	ˈɧæ̀ːra
DAY	d̥æˀ	dɑχ	dɑːg	deɪ	dai	ta:k	d̪ɪn	'dia	dɑː(g)
DIE	d̥øˀ		ˈdæ̀ːɑ	daɪ	'stjɛ(:)rə	'ʃtɛrbn̩	məɾnɑ	mo'ɾiɾ	dø:
DIG	ˈg̥ʁɑːvə	ˈɣravə	ˈgrɔ̀vɔ	dɪg	'gra:və	'gra:bn̩	kʰod̪nɑ	ka'βaɾ	ˈgrɛ̀:va
DIRTY	ˈsnɑwsəð	vœyl		dɜ:tɪ	sm(w)arx	'ʃmʊt͜sɪç	ɡənd̪ɑ	ˈsuθjo	ˈùːˌre:n
DO					dwa(:)n		kəɾnɑ	a'θeɾ	
DOG	hunˀ	hɔnt	rɑ̀kːɛ	dɒg	hun	hʊnt	kʊt̪ːɑ	'pero	hɵnd
DRINK	'dʁɛg̥ə	'drɪŋkə(n)	ˈdrɪ̀kːɑ	drɪŋk	'drɪŋkə	'trɪŋkn̩	pinɑ	be'βeɾ	ˈdrɪ̀kːa
DRY	d̥ʰœˀɐ̯	droχ	tʉərː	draɪ	drux	'trɔkn̩	sukʰɑ		tɔrː
DUST	sd̥ø̞ˀw	stɔf	dɑmb	dʌst	stɔf	ʃtaŭp	d̪ʱul	'polβo	stɔft
EAR	ˈø̞:ʌ	or	ˈæ̀ːrɑ	ɪə	ɪ.ər	o:ɐ̯	kɑn	o'ɾexa	œ̀ːra
EARTH	joˀɐ̯	'ardə	mʉld	ɜ:θ	grun	'e:ɐ̯də	zəmin	'tjera	juːɖ
EAT	ˈɛːðə	etə(n)	ˈjæ̀tɔ	i:t	'itə	'ɛsn̩	kʰɑnɑ	ko'meɾ	ˈɛ̀:ta
EGG	ɛˀg̥	ɛi	ɛgː	ɛg	aːj	aĭ	əɳɖɑ	'weβo	ɛgː
EYE	ˈʌjə	oχ	ˈòːgɑ	aɪ	ɪ.əx	'aŭgə	ɑ̃kʰ	'oxo	ˈø̀ːɡa
FALL	ˈfalə	'vɑlə(n)	ˈfòlːɑ	fɔ:l	'fɔlə	'falən	gɪɾnɑ	ka'eɾ	ˈfàlːa
FAR	fjɛɐ̯n	vɛr	ˌlɑʉŋgt ˈbrotː	fɑ:	fi.ər	vait	d̪uɾ	'lexos	lɔŋkt ˈbɔ̀ʈːa
FAT	fɛd̥	vɛt	ˈfɪ̀ɛːtɑ	fæt	fɛt	fɛt	ʧəɾbi	'ɡɾasa	fɛtː
FATHER	ˈfɛ:ðʌ, ˈfɑː	'vadər	ˈfɑ´ðɛr	fɑ:ðə	fa:r	'fa:tɐ	pit̪ɑ	'paðɾe	ˈfɑ̀:dər, fɑːr
FEAR	ˈfʁœ̝g̥d̥ə	'vrezə(n)	ˈræ̀ːðɑs	fɪə	baŋ 'vɛ:zə		ɖəɾnɑ	teˈneɾ 'mjeðo	ˈfrɵ̀kta
FEATHER	fjeˀɐ̯	ver		'fɛðə	fɪ.ər	'fe:dɐ	pə̃kʰ	'pluma	ˈfjɛ:dər
FIGHT	slʌs	'vɛχtə(n)	ˈrɑ̀ɪvɑs	faɪt	'fjoxçə	'kɛmp͜fn̩	ləɽnɑ	pele'aɾse	ˈstrì:da
FIRE	ilˀ	vyr	jæld	faɪə	fjuər	'fɔyɐ	ɑg	'fweɣo	ɛld
FISH	fesg̥	vɪs	fɪsk	fɪʃ	fɪsk	fɪʃ	məʧʰli	pes'kaðo	fisk
FIVE	fɛmˀ	vɛif	fɛmː	faɪv	fi:f	fʏnf	pɑ̃tʃ	'θiŋko	fɛmː
FLOWER	b̥lʌmˀsd̥	blum	bljɔ̀mːɛ	flaʊə	blom	'blu:mə	pʰul	floɾ	ˈblʊ̀mːa
FLY_N					mɪx		məkkʰi	'moska	
FLY_V	ˈfly:və	'vliɣə(n)	ˈfljʉ̀əgɑ	flaɪ	'flɪ.ənə	'fli:gn̩	ʊɽnɑ	bo'laɾ	ˈflỳ:ga
FOG	d̥ʰɔ:wə	mɪst	ˈdʉ̀mbɑ	fɑg	'di:zə	'ne:bl̩	koɦɾɑ	'njeβla	ˈɕɔ̀kːa
FOOT	foˀð	vut	fʉət	fʊt	fuət	fu:s	pɑ̃ʋ		fuːt
FOREST	sg̥ɒwˀ	wɑut	rɑɪs	wʊdz	bosk	valt	ʤə̃gəl	'boske	skuːg
FOUR	ˈfi:ʌ	vir	ˈfỳːrɑ	fɔ:	'fjɑ.uwər	fi:ɐ̯	ʧɑɾ	'kwatɾo	ˈfỳːra
FREEZE	ˈfʁy:sə	'vrizə(n)	tyœ̀lɔ	fri:z	'fri.əzə	'fri:rən	ʤəmnɑ	koɴxeˈlaɾse	ˈfrỳ:sa
FRUIT	fʁɔg̥d̥		frʉkt	fru:t	frø.yt	fruxt	pʰəl	'fɾuta	frɵkt
FULL	fulˀ	vɔl	fʉlː		fol	fɔl	bʱəɾ	'ʎeno	fɵlː
