sense	source_Ambai (Yapen) [amk]	source_Araki [akr]	source_As [asz]	source_Bierebo (Yevali) [bnk]	source_Biga (Misool) [xmt]	source_Buli [bzq]	source_Futuna-Aniwa (Aniwa) [fut]	source_Gimán [gzn]	source_Irarutu [irh]	source_Kasira (Irahutu) [irh]	source_Lelepa [lpa]	source_Maskelynes [klv]	source_Minyaifuin (Gebe) [gei]	source_Numfor [bhw]	source_Paama (Lironesa) [pma]	source_Pulau (Arguni) [agf]	source_Roria [rga]	source_Vao [vao]	source_Waropen [wrp]	source_Windesi Wandamen [wad]	gold_Ambai (Yapen) [amk]	gold_Araki [akr]	gold_As [asz]	gold_Bierebo (Yevali) [bnk]	gold_Biga (Misool) [xmt]	gold_Buli [bzq]	gold_Futuna-Aniwa (Aniwa) [fut]	gold_Gimán [gzn]	gold_Irarutu [irh]	gold_Kasira (Irahutu) [irh]	gold_Lelepa [lpa]	gold_Maskelynes [klv]	gold_Minyaifuin (Gebe) [gei]	gold_Numfor [bhw]	gold_Paama (Lironesa) [pma]	gold_Pulau (Arguni) [agf]	gold_Roria [rga]	gold_Vao [vao]	gold_Waropen [wrp]	gold_Windesi Wandamen [wad]	precision	recall	fscore
Eight																																									0.75	0.5999999999999999	0.6666666666666666
Fifty																																									1.0	1.0	1.0
Five																																									1.0	0.6333333333333333	0.7755102040816326
Four																																									0.5199999999999999	0.7042857142857143	0.5982730455075845
I																																									0.6545454545454545	0.6517857142857143	0.6531626693177582
Nine																																									0.8666666666666666	0.4499999999999999	0.5924050632911392
One																																									0.3357142857142857	0.7928571428571427	0.4716998191681736
One Hundred																																									1.0	1.0	1.0
One Thousand																																									1.0	1.0	1.0
Seven																																									0.9090909090909091	0.48484848484848475	0.6324110671936758
Six																																									1.0	0.3636363636363636	0.5333333333333333
Ten																																									1.0	0.7	0.8235294117647058
Three																																									1.0	0.7299999999999999	0.8439306358381502
Twenty																																									1.0	0.5	0.6666666666666666
Two																																									0.9066666666666666	0.6055555555555556	0.7261327455302474
above																																									0.8484848484848485	0.5324675324675325	0.6543174693644914
all																																									1.0	0.253393665158371	0.40433212996389883
and																																									1.0	0.9090909090909091	0.9523809523809523
ash																																									0.8833333333333334	0.5392857142857143	0.6697071129707113
at																																									0.6875	0.75	0.717391304347826
back																																									0.5636363636363637	0.6190476190476191	0.5900439238653001
bad, evil																																									0.7473684210526317	0.5116959064327485	0.6074754931918743
belly																																									0.3857142857142857	0.8099999999999999	0.5225806451612902
below																																									0.5714285714285715	0.57	0.5707133917396746
big																																									0.9	0.4	0.5538461538461539
bird																																									1.0	0.90625	0.9508196721311475
black																																									0.9333333333333333	0.4699999999999999	0.6251781472684085
blood																																									0.5305555555555554	0.6375	0.5791319857312722
bone																																									0.5083333333333334	0.925	0.6561046511627907
branch																																									1.0	0.5	0.6666666666666666
breast																																									0.875	0.5411764705882353	0.6687435098650052
child																																									0.825	0.3396825396825397	0.48122657580919936
cloud																																									0.9	0.5	0.6428571428571429
cold																																									0.7666666666666667	0.5944444444444443	0.6696598639455781
correct, true																																									0.8703703703703703	0.3444444444444444	0.49356368563685626
day																																									0.7443609022556391	0.5023923444976077	0.5998961218836566
dirty																																									0.6568627450980392	0.6666666666666666	0.6617283950617284
dog																																									0.4461538461538462	0.7142857142857142	0.5492424242424243
dry																																									0.665	0.3183333333333333	0.4305593220338983
dull, blunt																																									1.0	0.25	0.4
dust																																									0.8117647058823528	0.6274509803921569	0.7078057380990543
ear																																									0.30000000000000004	0.8033333333333333	0.4368580060422961
earth/soil																																									1.0	0.4	0.5714285714285715
egg																																									0.8666666666666668	0.5833333333333333	0.6973180076628351
eye																																									1.0	0.45714285714285713	0.6274509803921569
far																																									0.6111111111111112	0.7083333333333333	0.6561403508771929
fat/grease																																									0.7818181818181817	0.5757575757575758	0.6631493506493508
father																																									0.3961538461538462	0.7	0.5059649122807017
feather																																									0.7660818713450291	0.41228070175438597	0.5360672151843628
fire																																									0.8571428571428571	0.4541666666666666	0.5937358147980026
fish																																									0.75	0.5000000000000001	0.6000000000000002
flower																																									0.7142857142857143	0.437037037037037	0.5422794117647058
fog																																									1.0	0.3333333333333333	0.5
fruit																																									0.64	0.5475	0.5901473684210526
good																																									0.595	0.38999999999999996	0.4711675126903553
grass																																									1.0	0.3684210526315789	0.5384615384615384
green																																									0.75	0.537037037037037	0.6258992805755396
hair																																									0.7100000000000001	0.49682539682539684	0.5845850322241222
hand																																									0.5833333333333334	0.6976190476190477	0.6353779429987608
he/she																																									0.85	0.6136363636363635	0.7127329192546583
head																																									0.4	0.6928571428571428	0.5071895424836601
heavy																																									0.8222222222222222	0.6666666666666666	0.7363184079601989
house																																									1.0	0.7344129554655872	0.8468720821661999
how?																																									1.0	0.22619047619047622	0.36893203883495146
husband																																									0.6375	0.595	0.6155172413793103
if																																									0.7083333333333333	0.6875	0.6977611940298507
in, inside																																									0.625	0.5416666666666667	0.5803571428571429
intestines																																									0.8421052631578947	0.40789473684210525	0.5495844875346261
lake																																									0.7727272727272727	0.45454545454545453	0.5723905723905723
leaf																																									0.7071428571428571	0.475	0.5682779456193354
left																																									0.7857142857142856	0.5700000000000001	0.660695468914647
leg/foot																																									0.4699999999999999	0.85	0.6053030303030302
lightning																																									0.8	0.43787878787878787	0.5659730722154224
liver																																									0.6777777777777778	0.5125	0.5836639439906651
long																																									0.4497607655502392	0.6578947368421053	0.5342730476298738
louse																																									0.9083333333333334	0.41052631578947374	0.5654805453940804
man/male																																									0.6969696969696969	0.8300000000000001	0.7576900178606867
meat/flesh																																									0.8888888888888888	0.6666666666666665	0.7619047619047619
moon																																									0.8428571428571429	0.725	0.7794988610478361
mosquito																																									0.7999999999999999	0.6699999999999999	0.7292517006802721
mother																																									0.55	0.6199999999999999	0.582905982905983
mouth																																									0.473076923076923	0.7928571428571428	0.592578125
name																																									0.5590909090909091	0.7233333333333334	0.630694706994329
narrow																																									1.0	0.40170940170940167	0.573170731707317
near																																									0.9166666666666666	0.3125	0.46610169491525427
neck																																									0.55	0.6666666666666667	0.6027397260273973
needle																																									1.0	0.8333333333333334	0.9090909090909091
new																																									0.3909774436090226	0.681704260651629	0.49694329281146793
night																																									0.8666666666666666	0.525	0.6538922155688622
no, not																																									0.9166666666666666	0.38750000000000007	0.5447284345047925
nose																																									0.5933333333333333	0.6	0.5966480446927372
old																																									0.5692307692307692	0.43589743589743585	0.49372056514913654
other																																									0.9058823529411765	0.2941176470588235	0.4440599769319492
painful, sick																																									0.8333333333333334	0.44135802469135804	0.5770782889426956
person/human being																																									0.8947368421052632	0.47368421052631576	0.6194331983805668
rain																																									0.8666666666666666	0.20454545454545453	0.33097595473833097
rat																																									0.7543859649122807	0.45614035087719296	0.5685227561657767
red																																									0.6599999999999999	0.5399999999999999	0.594
right																																									0.85	0.5333333333333333	0.655421686746988
road/path																																									0.75	0.42777777777777776	0.5448113207547169
root																																									0.7708333333333333	0.6142857142857143	0.6837129351095832
rope																																									0.7166666666666666	0.7142857142857143	0.7154742096505824
rotten																																									0.7473684210526316	0.6421052631578947	0.6907496012759171
salt																																									0.7142857142857143	0.5714285714285714	0.634920634920635
sand																																									0.5357142857142858	0.6333333333333333	0.5804480651731162
sea																																									0.7633333333333333	0.6	0.671882640586797
sharp																																									0.9298245614035087	0.719298245614035	0.8111235535647628
short																																									0.8888888888888888	0.5000000000000001	0.6400000000000001
shoulder																																									0.4852941176470588	0.6078431372549019	0.5396992877868636
shy, ashamed																																									1.0	0.4166666666666667	0.5882352941176471
skin																																									0.6399999999999999	0.5666666666666667	0.6011049723756905
sky																																									0.6888888888888888	0.7916666666666666	0.7367104440275172
small																																									0.8	0.5083333333333333	0.621656050955414
smoke																																									0.775	0.305952380952381	0.4387114537444934
snake																																									0.8583333333333332	0.4411111111111111	0.5827419124982187
spider																																									1.0	0.18181818181818182	0.3076923076923077
star																																									0.9333333333333332	0.4666666666666666	0.6222222222222221
stick/wood																																									0.8350877192982458	0.593984962406015	0.6941977884029611
stone																																									0.9	0.40750000000000003	0.5609942638623326
tail																																									0.9125	0.5115384615384615	0.6555705604321403
that																																									0.7444444444444446	0.22424242424242422	0.34466458116093146
thatch/roof																																									1.0	0.2727272727272727	0.42857142857142855
they																																									0.9199999999999999	0.63	0.7478709677419356
thick																																									0.9215686274509803	0.4444444444444444	0.5996810207336523
thin																																									0.9027777777777778	0.3722222222222222	0.5271120793996611
this																																									0.59375	0.6	0.5968586387434555
thou																																									0.5333333333333333	0.6541666666666666	0.5876023391812865
thunder																																									0.82	0.675	0.740468227424749
to bite																																									0.8142857142857144	0.53	0.6420828905419768
to blow																																									0.3815789473684211	0.7850877192982456	0.5135536208943411
to breathe																																									0.7777777777777778	0.6666666666666666	0.717948717948718
to burn																																									0.7857142857142857	0.5952380952380952	0.6773399014778325
to buy																																									0.8181818181818182	0.29292929292929293	0.43140495867768597
to chew																																									0.75	0.6666666666666666	0.7058823529411765
to choose																																									0.5925925925925926	0.6111111111111112	0.6017094017094017
to climb																																									1.0	0.4318181818181818	0.6031746031746031
to come																																									0.5766666666666665	0.7840909090909091	0.6645696470326243
to cook																																									0.7894736842105263	0.4842105263157894	0.6002609830361026
to count																																									0.8039215686274509	0.47058823529411764	0.5936651583710407
to cry																																									0.95	0.6166666666666666	0.7478723404255319
to cut, hack																																									0.7454545454545454	0.5000000000000001	0.5985401459854014
to die, be dead																																									0.6684210526315788	0.90625	0.7693753916858157
to dig																																									0.49375	0.6728571428571428	0.5695545691106688
