sense	source_Ambai (Yapen) [amk]	source_Araki [akr]	source_As [asz]	source_Bierebo (Yevali) [bnk]	source_Biga (Misool) [xmt]	source_Buli [bzq]	source_Futuna-Aniwa (Aniwa) [fut]	source_Gimán [gzn]	source_Irarutu [irh]	source_Kasira (Irahutu) [irh]	source_Lelepa [lpa]	source_Maskelynes [klv]	source_Minyaifuin (Gebe) [gei]	source_Numfor [bhw]	source_Paama (Lironesa) [pma]	source_Pulau (Arguni) [agf]	source_Roria [rga]	source_Vao [vao]	source_Waropen [wrp]	source_Windesi Wandamen [wad]	gold_Ambai (Yapen) [amk]	gold_Araki [akr]	gold_As [asz]	gold_Bierebo (Yevali) [bnk]	gold_Biga (Misool) [xmt]	gold_Buli [bzq]	gold_Futuna-Aniwa (Aniwa) [fut]	gold_Gimán [gzn]	gold_Irarutu [irh]	gold_Kasira (Irahutu) [irh]	gold_Lelepa [lpa]	gold_Maskelynes [klv]	gold_Minyaifuin (Gebe) [gei]	gold_Numfor [bhw]	gold_Paama (Lironesa) [pma]	gold_Pulau (Arguni) [agf]	gold_Roria [rga]	gold_Vao [vao]	gold_Waropen [wrp]	gold_Windesi Wandamen [wad]	precision	recall	fscore
Eight																																									1.0	0.4	0.5714285714285715
Fifty																																									1.0	1.0	1.0
Five																																									1.0	0.2833333333333333	0.4415584415584416
Four																																									0.8583333333333332	0.27857142857142864	0.42062827225130894
I																																									0.8083333333333333	0.45178571428571423	0.5796173830892772
Nine																																									1.0	0.39999999999999997	0.5714285714285714
One																																									0.8	0.5642857142857143	0.661780104712042
One Hundred																																									1.0	1.0	1.0
One Thousand																																									1.0	1.0	1.0
Seven																																									1.0	0.36363636363636365	0.5333333333333333
Six																																									1.0	0.3636363636363636	0.5333333333333333
Ten																																									1.0	0.4333333333333333	0.6046511627906976
Three																																									1.0	0.12499999999999997	0.22222222222222218
Twenty																																									1.0	0.5	0.6666666666666666
Two																																									0.9166666666666666	0.19444444444444442	0.32083333333333325
above																																									1.0	0.3506493506493506	0.5192307692307692
all																																									1.0	0.23529411764705882	0.38095238095238093
and																																									1.0	0.9090909090909091	0.9523809523809523
ash																																									1.0	0.5	0.6666666666666666
at																																									0.6499999999999999	0.75	0.6964285714285714
back																																									0.95	0.5142857142857145	0.6673170731707319
bad, evil																																									0.9473684210526315	0.4064327485380117	0.5688302830510402
belly																																									0.8333333333333333	0.72	0.7725321888412018
below																																									1.0	0.45	0.6206896551724138
big																																									0.95	0.40909090909090906	0.5719063545150502
bird																																									1.0	0.5375	0.6991869918699186
black																																									0.925	0.5099999999999999	0.6574912891986062
blood																																									0.76	0.4875	0.5939879759519038
bone																																									0.95	0.65	0.7718749999999999
branch																																									1.0	0.5	0.6666666666666666
breast																																									0.9166666666666666	0.3529411764705882	0.5096525096525096
child																																									1.0	0.3142857142857142	0.4782608695652173
cloud																																									0.95	0.5	0.6551724137931034
cold																																									0.85	0.45	0.5884615384615385
