sense	source_Ambai (Yapen) [amk]	source_Araki [akr]	source_As [asz]	source_Bierebo (Yevali) [bnk]	source_Biga (Misool) [xmt]	source_Buli [bzq]	source_Futuna-Aniwa (Aniwa) [fut]	source_Gimán [gzn]	source_Irarutu [irh]	source_Kasira (Irahutu) [irh]	source_Lelepa [lpa]	source_Maskelynes [klv]	source_Minyaifuin (Gebe) [gei]	source_Numfor [bhw]	source_Paama (Lironesa) [pma]	source_Pulau (Arguni) [agf]	source_Roria [rga]	source_Vao [vao]	source_Waropen [wrp]	source_Windesi Wandamen [wad]	gold_Ambai (Yapen) [amk]	gold_Araki [akr]	gold_As [asz]	gold_Bierebo (Yevali) [bnk]	gold_Biga (Misool) [xmt]	gold_Buli [bzq]	gold_Futuna-Aniwa (Aniwa) [fut]	gold_Gimán [gzn]	gold_Irarutu [irh]	gold_Kasira (Irahutu) [irh]	gold_Lelepa [lpa]	gold_Maskelynes [klv]	gold_Minyaifuin (Gebe) [gei]	gold_Numfor [bhw]	gold_Paama (Lironesa) [pma]	gold_Pulau (Arguni) [agf]	gold_Roria [rga]	gold_Vao [vao]	gold_Waropen [wrp]	gold_Windesi Wandamen [wad]	precision	recall	fscore
Eight																																									0.8666666666666666	0.4666666666666666	0.6066666666666666
Fifty																																									1.0	1.0	1.0
Five																																									1.0	0.9166666666666666	0.9565217391304348
Four																																									0.6384615384615385	0.5528571428571427	0.5925837099898532
I																																									0.5125	0.9125	0.656359649122807
Nine																																									1.0	0.39999999999999997	0.5714285714285714
One																																									0.6250000000000001	0.6357142857142856	0.6303116147308782
One Hundred																																									1.0	1.0	1.0
One Thousand																																									1.0	1.0	1.0
Seven																																									0.4772727272727273	0.6969696969696969	0.5665689149560117
Six																																									0.9090909090909091	0.3636363636363636	0.5194805194805194
Ten																																									1.0	1.0	1.0
Three																																									1.0	0.9049999999999999	0.9501312335958005
Twenty																																									1.0	0.5	0.6666666666666666
Two																																									1.0	0.7666666666666667	0.8679245283018869
above																																									1.0	0.29870129870129863	0.4599999999999999
all																																									0.9215686274509803	0.3212669683257918	0.47644203312392913
and																																									0.7424242424242423	1.0	0.8521739130434782
ash																																									0.8	0.5	0.6153846153846154
at																																									0.875	0.75	0.8076923076923077
back																																									0.7433333333333333	0.5904761904761905	0.6581459002737117
bad, evil																																									0.7368421052631579	0.5116959064327485	0.6039689387402933
belly																																									0.67	0.75	0.7077464788732396
below																																									1.0	0.3	0.4615384615384615
big																																									0.8833333333333334	0.4878787878787878	0.6285819521178637
bird																																									0.90625	0.90625	0.90625
black																																									0.8333333333333333	0.4666666666666665	0.5982905982905982
blood																																									0.7208333333333333	0.625	0.6695046439628484
bone																																									0.75	0.85	0.7968749999999999
branch																																									1.0	0.5	0.6666666666666666
breast																																									0.9058823529411765	0.9058823529411765	0.9058823529411765
child																																									0.8	0.3857142857142857	0.5204819277108433
cloud																																									0.9333333333333333	0.51	0.6595842956120093
cold																																									0.7142857142857142	0.5055555555555555	0.5920624593363695
correct, true																																									0.9444444444444444	0.33333333333333326	0.49275362318840565
day																																									0.8245614035087719	0.5023923444976076	0.6243674089068826
dirty																																									0.7450980392156863	0.7254901960784313	0.7351633986928103
dog																																									0.75	0.7	0.7241379310344827
dry																																									0.6625	0.3383333333333333	0.44791840133222316
dull, blunt																																									1.0	0.36111111111111116	0.5306122448979592
dust																																									1.0	0.5294117647058824	0.6923076923076924
ear																																									0.5909090909090909	0.735	0.6551251285567363
earth/soil																																									1.0	0.47000000000000003	0.6394557823129252
egg																																									0.8533333333333333	0.5833333333333333	0.6929621036349575
eye																																									0.9071428571428571	0.8071428571428572	0.8542261904761904
far																																									0.8999999999999999	0.6875	0.7795275590551181
fat/grease																																									0.8636363636363636	0.5454545454545455	0.6686217008797655
father																																									0.45384615384615384	0.75	0.5654952076677316
feather																																									0.8289473684210527	0.3991228070175439	0.5388157894736842
fire																																									0.8571428571428571	0.4541666666666666	0.5937358147980026
fish																																									0.75	0.55	0.6346153846153847
flower																																									0.8518518518518519	0.43703703703703695	0.5776926351638995
fog																																									0.9166666666666666	0.3541666666666667	0.5109289617486339
fruit																																									0.8166666666666668	0.525	0.6391304347826088
good																																									0.9333333333333333	0.5611111111111111	0.7008674101610904
grass																																									0.6917293233082706	0.4947368421052632	0.5768794610099394
green																																									0.9166666666666666	0.6111111111111112	0.7333333333333334
hair																																									0.8700000000000001	0.3857142857142857	0.5344709897610921
hand																																									0.595	0.6857142857142857	0.6371444506413831
he/she																																									0.6928571428571428	0.7924242424242424	0.7393034100845235
head																																									0.6727272727272726	0.5976190476190476	0.6329528028624979
heavy																																									0.5050505050505051	0.7142857142857142	0.591715976331361
house																																									0.9210526315789473	0.3522267206477733	0.5095807882185591
how?																																									1.0	0.2619047619047619	0.41509433962264153
husband																																									0.775	0.675	0.721551724137931
if																																									0.875	0.625	0.7291666666666666
in, inside																																									0.90625	0.35416666666666663	0.5092975206611571
intestines																																									0.7368421052631579	0.3684210526315789	0.49122807017543857
lake																																									1.0	0.45454545454545453	0.625
leaf																																									0.5875	0.45	0.5096385542168674
left																																									0.7833333333333333	0.62	0.6921615201900237
leg/foot																																									0.82	0.8	0.8098765432098766
lightning																																									0.95	0.4424242424242425	0.6036996735582154
liver																																									0.925	0.475	0.6276785714285715
long																																									0.7105263157894737	0.6842105263157895	0.6971201588877854
louse																																									1.0	0.8157894736842106	0.8985507246376813
man/male																																									0.5466666666666666	0.8599999999999998	0.668436018957346
meat/flesh																																									1.0	0.6666666666666665	0.7999999999999999
moon																																									0.8333333333333334	0.7	0.7608695652173915
mosquito																																									0.6527777777777778	0.75	0.6980198019801981
mother																																									0.5333333333333332	0.57	0.5510574018126887
mouth																																									0.875	0.6333333333333332	0.734806629834254
name																																									0.6833333333333333	0.6900000000000002	0.6866504854368933
narrow																																									0.9230769230769231	0.40170940170940167	0.5598014888337469
near																																									0.9166666666666666	0.33333333333333337	0.48888888888888893
neck																																									0.95	0.6	0.7354838709677419
needle																																									1.0	0.8333333333333334	0.9090909090909091
new																																									0.9210526315789473	0.5864661654135339	0.7166294789342434
night																																									0.9	0.525	0.6631578947368422
no, not																																									0.9375	0.37500000000000006	0.5357142857142858
nose																																									0.8400000000000001	0.43333333333333324	0.5717277486910993
old																																									0.6153846153846154	0.47435897435897434	0.5357466063348415
other																																									0.9215686274509803	0.2773109243697479	0.42633315008246286
painful, sick																																									0.7592592592592592	0.5	0.6029411764705883
person/human being																																									0.631578947368421	0.5906432748538011	0.6104255854948375
rain																																									0.9111111111111111	0.4136363636363637	0.5689668318719024
rat																																									0.868421052631579	0.5526315789473684	0.6754385964912281
red																																									0.75	0.54	0.627906976744186
right																																									0.55	0.75	0.6346153846153847
road/path																																									0.7047619047619048	0.4222222222222222	0.5280751173708921
root																																									0.8833333333333332	0.4142857142857143	0.5640366972477064
rope																																									0.5307692307692307	0.7976190476190477	0.6373914242382461
rotten																																									0.8	0.487719298245614	0.6059945504087193
salt																																									0.6530612244897959	0.6428571428571429	0.6479190101237345
sand																																									0.95	0.37	0.5325757575757576
sea																																									0.7636363636363636	0.8	0.7813953488372093
sharp																																									0.5789473684210527	0.7894736842105262	0.6680161943319839
short																																									0.7777777777777778	0.638888888888889	0.7015250544662309
shoulder																																									0.8529411764705882	0.6078431372549019	0.7098302408211608
shy, ashamed																																									0.8333333333333334	0.5833333333333334	0.6862745098039216
skin																																									0.825	0.675	0.7425
sky																																									0.8148148148148147	0.7916666666666666	0.8030739673390969
small																																									0.7375	0.5083333333333333	0.6018394648829432
smoke																																									0.711111111111111	0.4738095238095238	0.5686983701719134
snake																																									0.8	0.5611111111111111	0.6595918367346939
spider																																									0.8787878787878788	0.20202020202020202	0.32851883319173036
star																																									0.95	0.5333333333333333	0.6831460674157303
stick/wood																																									1.0	0.593984962406015	0.7452830188679245
stone																																									0.5499999999999999	0.6033333333333333	0.5754335260115606
tail																																									0.9	0.39615384615384613	0.5501483679525222
that																																									0.8666666666666667	0.2444444444444444	0.38133333333333325
thatch/roof																																									1.0	0.3090909090909091	0.4722222222222222
they																																									0.7472727272727274	0.8300000000000001	0.7864668587896254
thick																																									1.0	0.7189542483660131	0.8365019011406843
thin																																									0.8999999999999999	0.525	0.6631578947368422
this																																									0.7272727272727273	0.6125	0.6649703138252757
thou																																									0.6944444444444444	0.625	0.6578947368421053
thunder																																									0.6928571428571428	0.675	0.6838120104438642
to bite																																									0.9142857142857143	0.5	0.6464646464646465
to blow																																									0.4956140350877193	0.5701754385964911	0.5302866219045556
to breathe																																									0.6944444444444444	0.6666666666666666	0.6802721088435373
to burn																																									0.9285714285714286	0.5714285714285714	0.7074829931972789
to buy																																									1.0	0.29292929292929293	0.45312500000000006
to chew																																									1.0	0.6666666666666666	0.8
to choose																																									1.0	0.7777777777777778	0.8750000000000001
to climb																																									0.8787878787878788	0.36363636363636365	0.5144124168514412
to come																																									0.7692307692307692	0.759090909090909	0.7641272020132692
to cook																																									0.7105263157894737	0.4842105263157894	0.5759332251333179
to count																																									1.0	0.4117647058823529	0.5833333333333334
to cry																																									0.74	0.6900000000000001	0.7141258741258741
to cut, hack																																									0.6777777777777778	0.36547619047619045	0.47488271839736274
to die, be dead																																									1.0	0.7187500000000001	0.8363636363636365
to dig																																									0.5666666666666665	0.6528571428571429	0.6067161265130808
to dream																																									0.6969696969696969	0.42424242424242425	0.5274365274365275
to drink																																									0.38235294117647056	0.8333333333333334	0.5241935483870966
to eat																																									0.6285714285714284	0.7613636363636365	0.6886241532352254
to fall																																									0.788888888888889	0.47777777777777775	0.5951267056530215
to fear																																									0.8307692307692308	0.562857142857143	0.6710613467907272
to flow																																									0.7777777777777778	0.39814814814814814	0.52668416447944
to fly																																									0.95	0.7833333333333333	0.8586538461538461
to grow																																									0.7777777777777777	0.6666666666666666	0.7179487179487178
to hear																																									0.9099999999999999	0.4999999999999999	0.6453900709219857
to hide																																									1.0	0.3333333333333333	0.5
to hit																																									0.9	0.4833333333333333	0.6289156626506024
to hold																																									0.8703703703703703	0.30952380952380953	0.4566517189835575
to hunt																																									0.875	0.25	0.3888888888888889
to kill																																									0.9052631578947367	0.9052631578947367	0.9052631578947367
to know, be knowledgeable																																									0.6710526315789473	0.6432748538011696	0.6568702066623734
to laugh																																									0.45	0.9111111111111111	0.6024489795918366
to lie down																																									0.8222222222222223	0.5277777777777778	0.6428898033836306
to live, be alive																																									1.0	0.4025974025974025	0.574074074074074
to open, uncover																																									1.0	0.27272727272727276	0.42857142857142866
to plant																																									1.0	0.6623376623376622	0.7968749999999999
to pound, beat																																									1.0	0.7727272727272727	0.8717948717948718
to say																																									0.6777777777777777	0.5	0.5754716981132075
to scratch																																									0.6266666666666667	0.7333333333333333	0.6758169934640523
to see																																									0.67	0.5545454545454546	0.606829992576095
to sew																																									0.784313725490196	0.6323529411764706	0.7001831874618359
to shoot																																									1.0	0.4666666666666666	0.6363636363636364
to sit																																									0.5722222222222222	0.5476190476190476	0.5596503661705645
to sleep																																									0.7958333333333333	0.75	0.7722371967654985
to sniff, smell																																									0.6419753086419754	0.8333333333333334	0.7252440725244074
to spit																																									0.675	0.611111111111111	0.6414686825053996
to split																																									0.8105263157894737	0.46783625730994144	0.5932489045119661
to squeeze																																									0.9473684210526315	0.45614035087719296	0.6157894736842104
to stab, pierce																																									0.7962962962962963	0.45370370370370366	0.5780521262002744
to stand																																									0.8833333333333332	0.6666666666666666	0.7598566308243727
to steal																																									0.6	0.6	0.6
to suck																																									0.5555555555555556	0.6481481481481481	0.5982905982905983
to swell																																									0.75	0.4464285714285714	0.5597014925373134
to swim																																									0.6257309941520468	0.6771929824561402	0.6504456833286087
to think																																									0.787037037037037	0.5925925925925926	0.6761123539647029
to throw																																									0.4783625730994152	0.8421052631578947	0.6101347256538157
to tie up, fasten																																									0.8771929824561404	0.5380116959064327	0.6669566478178919
to turn																																									0.8888888888888888	0.6666666666666666	0.761904761904762
to vomit																																									0.6929824561403508	0.7894736842105263	0.7380878231080661
to walk																																									0.53	0.7033333333333333	0.6044864864864864
to work																																									0.8289473684210527	0.3684210526315789	0.5101214574898785
to yawn																																									1.0	0.8	0.888888888888889
tongue																																									0.625	0.5125	0.5631868131868132
tooth																																									0.86	0.4611111111111111	0.600336417157275
warm																																									0.9473684210526315	0.37894736842105264	0.5413533834586467
water																																									0.9071428571428571	0.6088235294117647	0.7286308203991131
we																																									0.5800000000000001	0.76	0.6579104477611941
wet																																									0.8421052631578947	0.4853801169590643	0.6158126594018084
what?																																									0.82	0.35	0.4905982905982906
when?																																									0.5824175824175825	0.5641025641025641	0.5731137871712952
where?																																									1.0	0.27499999999999997	0.4313725490196078
white																																									0.72	0.5333333333333333	0.6127659574468085
who?																																									0.8272727272727274	0.61	0.7022137887413029
wide																																									0.9	0.42857142857142855	0.5806451612903225
wife																																									0.695906432748538	0.6666666666666667	0.6809728183118742
wind																																									0.925	0.55	0.6898305084745763
wing																																									0.9298245614035089	0.46783625730994144	0.6224766938266167
woman/female																																									0.39	0.8642857142857144	0.5374715261958998
woods/forest																																									1.0	0.6029411764705882	0.7522935779816513
worm (earthworm)																																									0.8181818181818182	0.38636363636363635	0.5248713550600342
year																																									0.8306878306878307	0.5308641975308641	0.6477643446555363
yellow																																									0.9210526315789473	0.5023923444976077	0.65015479876161
you																																									0.5624999999999999	0.5092857142857143	0.5345718093968677
