sense	source_Danish	source_Dutch	source_Elfdalian	source_English	source_Frisian	source_German	source_Hindi	source_Spanish	source_Swedish	gold_Danish	gold_Dutch	gold_Elfdalian	gold_English	gold_Frisian	gold_German	gold_Hindi	gold_Spanish	gold_Swedish	precision	recall	fscore
ANT	0	0	0	0	1	0	2	3	0	0	0	0	0	1617	0	2354	272	0	1.0	1.0	1.0
ASH	1	1	1	1	1	1	3	4	5	285	285	285	285	285	285	2355	1	4161	1.0	1.0	1.0
BACK	4	4	4	4	4	5	4	7	4	1413	1413	1413	1618	1413	1413	598	3541	1413	0.6507936507936507	0.8148148148148148	0.7236261532290412
BAD	1	2	0	3	4	2	6	1	7	1414	1533	0	1619	1734	1533	989	274	1612	0.875	1.0	0.9333333333333333
BARK	3	2	3	3	4	5	6	7	3	1415	1534	1415	1620	1698	2041	2356	275	4162	0.7222222222222222	1.0	0.8387096774193548
BELLY	1	2	1	3	2	2	2	0	2	1416	1142	1416	1142	1142	1142	990	0	1142	0.8	0.8	0.8000000000000002
BIG	1	2	1	3	2	2	6	7	1	69	1535	69	1621	1535	1535	991	277	69	1.0	1.0	1.0
BIRD	2	2	2	2	2	2	3	2	2	1417	1417	1417	1622	1417	1417	2357	308	1417	0.6388888888888888	1.0	0.7796610169491525
BITE	1	1	1	1	1	1	3	4	1	1418	1418	1418	1418	1418	1418	275	279	1418	1.0	1.0	1.0
BITTER	0	0	0	0	1	0	2	3	0	0	0	0	0	1418	0	2358	280	0	1.0	1.0	1.0
BLACK	2	2	2	4	2	2	6	7	2	1420	1420	1420	1623	1420	1420	606	281	1420	1.0	1.0	1.0
BLOOD	1	1	1	1	1	1	2	3	1	1421	1421	1421	1421	1421	1421	1086	282	1421	1.0	1.0	1.0
BLOW	1	1	1	1	1	0	2	3	1	283	283	283	283	283	0	994	283	283	1.0	0.7857142857142857	0.88
BONE	1	2	1	1	3	4	5	5	1	1422	8	1422	1422	1422	2026	995	13	1422	0.8888888888888888	0.8222222222222223	0.8542568542568542
BREATHE	1	2	0	3	4	2	6	7	8	577	1536	0	1624	1735	1536	996	284	577	1.0	0.875	0.9333333333333333
BURN	3	3	3	3	3	3	5	0	3	1423	1423	1423	1423	1423	1423	1073	0	1423	1.0	1.0	1.0
CARRY	0	0	0	0	1	0	2	3	0	0	0	0	0	1468	0	2359	3334	0	1.0	1.0	1.0
CHEST	1	0	1	0	1	0	2	3	1	1261	0	1261	0	1261	0	1088	287	1261	1.0	1.0	1.0
CHILD	1	2	3	4	1	2	1	6	1	5	646	1574	1627	5	646	1925	416	5	0.8333333333333334	1.0	0.9090909090909091
CLAW	0	0	0	0	1	0	2	3	0	0	0	0	0	1424	0	1090	4155	0	1.0	1.0	1.0
CLOUD	1	2	3	4	2	2	7	8	1	1425	1250	1575	1628	1250	1250	1091	289	4163	0.8888888888888888	1.0	0.9411764705882353
COLD	2	2	2	2	2	2	7	8	2	317	317	317	317	317	317	615	290	317	1.0	1.0	1.0
COME	1	1	1	1	1	1	1	4	1	291	291	291	291	291	291	291	291	291	1.0	0.802469135802469	0.8904109589041095
