sense	source_Danish	source_Dutch	source_Elfdalian	source_English	source_Frisian	source_German	source_Hindi	source_Spanish	source_Swedish	gold_Danish	gold_Dutch	gold_Elfdalian	gold_English	gold_Frisian	gold_German	gold_Hindi	gold_Spanish	gold_Swedish	precision	recall	fscore
ANT	0	0	0	0	1	0	2	3	0	0	0	0	0	1617	0	2354	272	0	1.0	1.0	1.0
ASH	1	2	3	4	5	1	6	7	8	285	285	285	285	285	285	2355	1	4161	1.0	0.48148148148148145	0.65
BACK	2	2	3	2	2	4	2	5	3	1413	1413	1413	1618	1413	1413	598	3541	1413	0.6888888888888888	0.5925925925925926	0.6371226718047528
BAD	1	2	0	3	3	2	6	7	1	1414	1533	0	1619	1734	1533	989	274	1612	0.75	1.0	0.8571428571428571
BARK	1	2	3	1	3	5	1	6	3	1415	1534	1415	1620	1698	2041	2356	275	4162	0.5555555555555555	0.8888888888888888	0.6837606837606838
BELLY	1	1	2	1	2	1	2	0	2	1416	1142	1416	1142	1142	1142	990	0	1142	0.5	0.575	0.5348837209302325
BIG	1	1	1	2	3	3	1	5	1	69	1535	69	1621	1535	1535	991	277	69	0.6888888888888889	0.8518518518518517	0.7617521367521367
BIRD	3	3	3	3	3	3	5	6	3	1417	1417	1417	1622	1417	1417	2357	308	1417	0.8095238095238095	1.0	0.8947368421052632
BITE	1	1	1	1	1	1	1	1	1	1418	1418	1418	1418	1418	1418	275	279	1418	0.6296296296296297	1.0	0.7727272727272727
BITTER	0	0	0	0	1	0	2	3	0	0	0	0	0	1418	0	2358	280	0	1.0	1.0	1.0
BLACK	1	2	2	5	5	2	7	8	5	1420	1420	1420	1623	1420	1420	606	281	1420	0.8518518518518519	0.5925925925925926	0.6989553656220322
BLOOD	2	2	2	2	2	2	4	5	2	1421	1421	1421	1421	1421	1421	1086	282	1421	1.0	1.0	1.0
BLOW	1	1	1	1	1	0	1	1	1	283	283	283	283	283	0	994	283	283	0.78125	1.0	0.8771929824561403
BONE	1	2	3	3	5	6	7	7	1	1422	8	1422	1422	1422	2026	995	13	1422	0.8888888888888888	0.6444444444444445	0.747181964573269
BREATHE	1	2	0	3	4	2	6	7	2	577	1536	0	1624	1735	1536	996	284	577	0.8333333333333333	0.875	0.8536585365853658
BURN	1	1	1	3	1	1	5	0	1	1423	1423	1423	1423	1423	1423	1073	0	1423	1.0	0.7857142857142857	0.88
CARRY	0	0	0	0	1	0	2	3	0	0	0	0	0	1468	0	2359	3334	0	1.0	1.0	1.0
CHEST	1	0	1	0	1	0	2	2	1	1261	0	1261	0	1261	0	1088	287	1261	0.8333333333333334	1.0	0.9090909090909091
CHILD	1	2	3	4	1	2	1	1	1	5	646	1574	1627	5	646	1925	416	5	0.6888888888888888	1.0	0.8157894736842105
CLAW	0	0	0	0	1	0	2	3	0	0	0	0	0	1424	0	1090	4155	0	1.0	1.0	1.0
CLOUD	1	2	3	4	2	6	7	8	1	1425	1250	1575	1628	1250	1250	1091	289	4163	0.8888888888888888	0.8518518518518517	0.8699763593380615
COLD	1	2	2	4	5	2	7	8	5	317	317	317	317	317	317	615	290	317	1.0	0.46031746031746035	0.6304347826086957
COME	2	2	2	2	2	2	2	2	2	291	291	291	291	291	291	291	291	291	1.0	1.0	1.0
